layout,problem,m,n,k,required,threads,blas,impl,time_ms,gflops,speedup,correct,timestamp,hostname,file
row-major,8x16x16000,8,16,16000,True,1,mkl,reference,0.116699,35.098955,1.0,True,2026-06-23T21:21:03,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t1_row.json
row-major,8x16x16000,8,16,16000,True,2,mkl,reference,0.086335,47.442946,1.0,True,2026-06-23T21:21:24,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t2_row.json
row-major,8x16x16000,8,16,16000,True,4,mkl,reference,0.034772,117.795772,1.0,True,2026-06-23T21:21:38,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t4_row.json
row-major,8x16x16000,8,16,16000,True,8,mkl,reference,0.019854,206.305745,1.0,True,2026-06-23T21:21:46,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t8_row.json
row-major,8x16x16000,8,16,16000,True,16,mkl,reference,0.017065,240.019565,1.0,True,2026-06-23T21:21:52,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t16_row.json
row-major,8x16x16000,8,16,16000,True,24,mkl,reference,0.023834,171.855082,1.0,True,2026-06-23T21:21:58,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t24_row.json
row-major,8x16x16000,8,16,16000,True,48,mkl,reference,0.01537,266.491745,1.0,True,2026-06-23T21:22:03,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t48_row.json
row-major,8x16x16000,8,16,16000,True,96,mkl,reference,0.050465,81.165435,1.0,True,2026-06-23T21:22:08,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t96_row.json
row-major,32x16000x16,32,16000,16,True,1,mkl,reference,0.283526,57.786668,1.0,True,2026-06-23T21:21:03,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t1_row.json
row-major,32x16000x16,32,16000,16,True,2,mkl,reference,0.153653,106.629585,1.0,True,2026-06-23T21:21:24,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t2_row.json
row-major,32x16000x16,32,16000,16,True,4,mkl,reference,0.076578,213.95049,1.0,True,2026-06-23T21:21:38,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t4_row.json
row-major,32x16000x16,32,16000,16,True,8,mkl,reference,0.030831,531.420158,1.0,True,2026-06-23T21:21:46,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t8_row.json
row-major,32x16000x16,32,16000,16,True,16,mkl,reference,0.022289,735.065936,1.0,True,2026-06-23T21:21:52,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t16_row.json
row-major,32x16000x16,32,16000,16,True,24,mkl,reference,0.01731,946.483063,1.0,True,2026-06-23T21:21:58,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t24_row.json
