=== node info ===
CPU(s):                96
Socket(s):             2
NUMA node(s):          4
Model name:            Intel(R) Xeon(R) Platinum 9242 CPU @ 2.30GHz
NUMA node0 CPU(s):     0-23
NUMA node1 CPU(s):     24-47
NUMA node2 CPU(s):     48-71
NUMA node3 CPU(s):     72-95
available: 4 nodes (0-3)
node 0 cpus: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
node 0 size: 95061 MB
node 0 free: 92920 MB
node 1 cpus: 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
node 1 size: 96747 MB
node 1 free: 90067 MB
node 2 cpus: 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71
node 2 size: 96731 MB
node 2 free: 92284 MB
node 3 cpus: 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95
node 3 size: 96747 MB
node 3 free: 92667 MB
node distances:
node   0   1   2   3 
  0:  10  21  21  21 
  1:  21  10  21  21 
  2:  21  21  10  21 
  3:  21  21  21  10 
rm -f tsmm_bench
icpx -std=c++17 -Wall -Wextra -Wno-unused-parameter -O3 -march=native -mavx512f -mavx512dq -mfma -funroll-loops -qopenmp -Iinclude -I/public5/soft/oneAPI/2022.1/mkl/latest/include -DTSMM_BLAS_MKL ops/v0_naive.cpp ops/v1_blocked.cpp ops/v2_openmp.cpp ops/v3_avx512.cpp ops/v4_kreduce.cpp ops/v9_blas.cpp ops/v5_smallk_packa.cpp ops/v6_smallk_col.cpp ops/registry.cpp benchmark.cpp -o tsmm_bench  -L/public5/soft/oneAPI/2022.1/mkl/latest/lib/intel64 -Wl,--no-as-needed -lmkl_intel_lp64 -lmkl_intel_thread -lmkl_core -liomp5 -lpthread -lm -ldl
=== run: all shapes ===
=== TSMM Benchmark ===
layout=col  backend=MKL  threads=96  warmup=10 repeat=20
op           task                     GFLOPS     avg_ms    rel_err       ok  speedup
v0_naive     T1_4000x16000x128          6.58   2489.232   4.05e-16       OK    0.002
v1_blocked   T1_4000x16000x128         19.09    858.400   4.22e-16       OK    0.005
v2_openmp    T1_4000x16000x128       1580.96     10.363   4.22e-16       OK    0.429
v3_avx512    T1_4000x16000x128       1617.02     10.132   4.11e-16       OK    0.439
v4_kreduce   T1_4000x16000x128        163.97     99.921   0.00e+00       OK    0.045
v5_dot_parallel T1_4000x16000x128        430.22     38.083   4.05e-16       OK    0.117
v6_smallk_col T1_4000x16000x128        421.90     38.834   4.05e-16       OK    0.115
v9_blas      T1_4000x16000x128       3822.88      4.286   0.00e+00       OK    1.038

v0_naive     T2_8x16x16000              6.66      0.615   1.25e-15       OK    0.055
v1_blocked   T2_8x16x16000             29.36      0.140   5.44e-16       OK    0.241
v2_openmp    T2_8x16x16000             21.49      0.191   2.53e-15       OK    0.176
v3_avx512    T2_8x16x16000             17.33      0.236   1.63e-15       OK    0.142
v4_kreduce   T2_8x16x16000              7.63      0.537   6.30e-16       OK    0.063
v5_dot_parallel T2_8x16x16000             66.04      0.062   1.27e-15       OK    0.541
v6_smallk_col T2_8x16x16000             70.98      0.058   1.27e-15       OK    0.582
v9_blas      T2_8x16x16000            120.13      0.034   0.00e+00       OK    0.985

v0_naive     T3_32x16000x16             7.29      2.246   1.78e-16       OK    0.006
v1_blocked   T3_32x16000x16            16.85      0.972   1.69e-16       OK    0.013
v2_openmp    T3_32x16000x16            70.12      0.234   1.69e-16       OK    0.055
v3_avx512    T3_32x16000x16            68.45      0.239   0.00e+00       OK    0.054
v4_kreduce   T3_32x16000x16            50.17      0.327   0.00e+00       OK    0.040
v5_dot_parallel T3_32x16000x16            43.84      0.374   1.78e-16       OK    0.035
v6_smallk_col T3_32x16000x16            42.22      0.388   1.78e-16       OK    0.033
v9_blas      T3_32x16000x16          1390.71      0.012   0.00e+00       OK    1.098

v0_naive     T4_144x144x144            12.92      0.462   4.26e-16       OK    0.032
v1_blocked   T4_144x144x144            38.11      0.157   4.43e-16       OK    0.093
v2_openmp    T4_144x144x144           232.89      0.026   4.43e-16       OK    0.569
v3_avx512    T4_144x144x144           227.79      0.026   0.00e+00       OK    0.556
v4_kreduce   T4_144x144x144            98.72      0.060   0.00e+00       OK    0.241
v5_dot_parallel T4_144x144x144            25.33      0.236   4.25e-16       OK    0.062
v6_smallk_col T4_144x144x144            25.97      0.230   4.25e-16       OK    0.063
v9_blas      T4_144x144x144           391.13      0.015   0.00e+00       OK    0.955

v0_naive     O1_16x12344x16             7.63      0.828   1.78e-16       OK    0.013
v1_blocked   O1_16x12344x16            16.68      0.379   1.69e-16       OK    0.028
v2_openmp    O1_16x12344x16            28.05      0.225   1.69e-16       OK    0.047
v3_avx512    O1_16x12344x16            26.40      0.239   0.00e+00       OK    0.045
v4_kreduce   O1_16x12344x16            25.34      0.249   0.00e+00       OK    0.043
v5_dot_parallel O1_16x12344x16            19.58      0.323   1.77e-16       OK    0.033
v6_smallk_col O1_16x12344x16            19.65      0.322   1.77e-16       OK    0.033
v9_blas      O1_16x12344x16           576.81      0.011   0.00e+00       OK    0.974

v0_naive     O2_4x64x606841             1.81    171.764   5.44e-15       OK    0.010
v1_blocked   O2_4x64x606841             6.92     44.918   1.63e-15       OK    0.039
v2_openmp    O2_4x64x606841             4.19     74.126   5.44e-15       OK    0.024
v3_avx512    O2_4x64x606841            14.51     21.406   8.96e-15       OK    0.082
v4_kreduce   O2_4x64x606841            30.94     10.043   1.11e-15       OK    0.174
v5_dot_parallel O2_4x64x606841            27.81     11.173   5.44e-15       OK    0.157
v6_smallk_col O2_4x64x606841            27.93     11.126   5.44e-15       OK    0.158
v9_blas      O2_4x64x606841           236.94      1.311   0.00e+00       OK    1.336

v0_naive     O3_442x193x11              2.57      0.732   0.00e+00       OK    0.022
v1_blocked   O3_442x193x11             11.93      0.157   1.22e-16       OK    0.102
v2_openmp    O3_442x193x11              8.31      0.226   1.22e-16       OK    0.071
v3_avx512    O3_442x193x11              8.55      0.220   0.00e+00       OK    0.073
v4_kreduce   O3_442x193x11              8.26      0.227   0.00e+00       OK    0.071
v5_dot_parallel O3_442x193x11              7.09      0.265   0.00e+00       OK    0.061
v6_smallk_col O3_442x193x11              6.56      0.286   0.00e+00       OK    0.056
v9_blas      O3_442x193x11            121.59      0.015   0.00e+00       OK    1.042

v0_naive     O4_40x1127228x40           8.84    407.843   2.07e-16       OK    0.010
v1_blocked   O4_40x1127228x40          15.20    237.312   2.47e-16       OK    0.017
v2_openmp    O4_40x1127228x40         847.78      4.255   2.47e-16       OK    0.960
v3_avx512    O4_40x1127228x40         830.17      4.345   2.44e-16       OK    0.940
v4_kreduce   O4_40x1127228x40         149.68     24.099   0.00e+00       OK    0.169
v5_dot_parallel O4_40x1127228x40         309.34     11.661   2.07e-16       OK    0.350
v6_smallk_col O4_40x1127228x40         600.56      6.006   0.00e+00       OK    0.680
v9_blas      O4_40x1127228x40         778.04      4.636   0.00e+00       OK    0.881

=== Geomean speedup (best non-BLAS vs MKL) required=0.300 all=0.225 ===
Wrote web/results.json
=== done. results in web/results.json ===
